title,budget,worldwidegross,datecopy,date2,rate1,year,month,yearMean,logYearMeanRate
The Golden Child,12000000,77559863,12-Dec-86,12-Dec-86,6.4633217,1986,12,6.690239,1.9006495
Star Trek IV: The Voyage Home,24000000,130396178,26-Nov-86,26-Nov-86,5.4331741,1986,11,6.690239,1.9006495
The Color of Money,10000000,50159778,17-Oct-86,17-Oct-86,5.0159779,1986,10,6.690239,1.9006495
Peggy Sue Got Married,18000000,38948832,10-Oct-86,10-Oct-86,2.1638241,1986,10,6.690239,1.9006495
Playing for Keeps,35000000,2000000,3-Oct-86,3-Oct-86,0.057142857,1986,10,6.690239,1.9006495
Crocodile Dundee,8800000,321534511,26-Sep-86,26-Sep-86,36.538013,1986,9,6.690239,1.9006495
Shanghai Surprise,17000000,2315000,29-Aug-86,29-Aug-86,0.13617647,1986,8,6.690239,1.9006495
The Texas Chainsaw Massacre 2,4700000,8025872,22-Aug-86,22-Aug-86,1.7076323,1986,8,6.690239,1.9006495
Stand by Me,8000000,52287414,8-Aug-86,8-Aug-86,6.5359268,1986,8,6.690239,1.9006495
She's Gotta Have It,175000,7137502,8-Aug-86,8-Aug-86,40.785725,1986,8,6.690239,1.9006495
Friday the 13th Part VI: Jason Lives,3000000,17834917,1-Aug-86,1-Aug-86,5.9449725,1986,8,6.690239,1.9006495
Howard the Duck,30000000,16295774,1-Aug-86,1-Aug-86,0.54319245,1986,8,6.690239,1.9006495
Aliens,17000000,183316455,18-Jul-86,18-Jul-86,10.78332,1986,7,6.690239,1.9006495
Big Trouble in Little China,25000000,10911690,1-Jul-86,1-Jul-86,0.43646759,1986,7,6.690239,1.9006495
Pirates,40000000,6341825,1-Jul-86,1-Jul-86,0.15854563,1986,7,6.690239,1.9006495
Legal Eagles,40000000,46210024,18-Jun-86,18-Jun-86,1.1552505,1986,6,6.690239,1.9006495
Invaders from Mars,12000000,4984663,6-Jun-86,6-Jun-86,0.41538858,1986,6,6.690239,1.9006495
Top Gun,15000000,356800601,16-May-86,16-May-86,23.786707,1986,5,6.690239,1.9006495
Salvador,4500000,1500000,23-Apr-86,23-Apr-86,0.33333334,1986,4,6.690239,1.9006495
Legend,25000000,23506237,18-Apr-86,18-Apr-86,0.9402495,1986,4,6.690239,1.9006495
April Fool's Day,5000000,12947763,27-Mar-86,27-Mar-86,2.5895526,1986,3,6.690239,1.9006495
Highlander,16000000,12900000,7-Mar-86,7-Mar-86,0.80624998,1986,3,6.690239,1.9006495
A Room with a View,3000000,20966644,7-Mar-86,7-Mar-86,6.9888811,1986,3,6.690239,1.9006495
Nine 1/2 Weeks,18000000,6734844,21-Feb-86,21-Feb-86,0.37415799,1986,2,6.690239,1.9006495
The Clan of the Cave Bear,15000000,1953732,17-Jan-86,17-Jan-86,0.1302488,1986,1,6.690239,1.9006495
Good Morning Vietnam,13000000,121650966,23-Dec-87,23-Dec-87,9.3577662,1987,12,6.2148128,1.8269356
Wall Street,16500000,43848100,11-Dec-87,11-Dec-87,2.6574607,1987,12,6.2148128,1.8269356
3 Men and a Baby,15000000,164016972,25-Nov-87,25-Nov-87,10.934464,1987,11,6.2148128,1.8269356
Teen Wolf Too,3000000,7888000,20-Nov-87,20-Nov-87,2.6293333,1987,11,6.2148128,1.8269356
The Last Emperor,25000000,40295591,20-Nov-87,20-Nov-87,1.6118237,1987,11,6.2148128,1.8269356
The Running Man,30000000,37743350,13-Nov-87,13-Nov-87,1.2581117,1987,11,6.2148128,1.8269356
Cry Freedom,29000000,25899797,6-Nov-87,6-Nov-87,0.89309645,1987,11,6.2148128,1.8269356
The Princess Bride,15000000,30857000,25-Sep-87,25-Sep-87,2.0571334,1987,9,6.2148128,1.8269356
Fatal Attraction,14000000,311908296,18-Sep-87,18-Sep-87,22.279163,1987,9,6.2148128,1.8269356
Hellraiser,1000000,13323420,18-Sep-87,18-Sep-87,13.32342,1987,9,6.2148128,1.8269356
The Offspring,1100000,1355728,4-Sep-87,4-Sep-87,1.23248,1987,9,6.2148128,1.8269356
The Living Daylights,40000000,190111813,31-Jul-87,31-Jul-87,4.7527952,1987,7,6.2148128,1.8269356
The Lost Boys,8500000,30331685,31-Jul-87,31-Jul-87,3.5684335,1987,7,6.2148128,1.8269356
Superman IV: The Quest for Peace,17000000,11227824,24-Jul-87,24-Jul-87,0.66046023,1987,7,6.2148128,1.8269356
La Bamba,6500000,52678820,24-Jul-87,24-Jul-87,8.104434,1987,7,6.2148128,1.8269356
RoboCop,13000000,51327050,17-Jul-87,17-Jul-87,3.9482346,1987,7,6.2148128,1.8269356
Jaws 4: The Revenge,23000000,15728335,17-Jul-87,17-Jul-87,0.68384063,1987,7,6.2148128,1.8269356
Spaceballs,22700000,36725144,24-Jun-87,24-Jun-87,1.6178478,1987,6,6.2148128,1.8269356
Predator,18000000,94604507,12-Jun-87,12-Jun-87,5.255806,1987,6,6.2148128,1.8269356
The Untouchables,25000000,75729280,3-Jun-87,3-Jun-87,3.0291712,1987,6,6.2148128,1.8269356
Beverly Hills Cop II,20000000,275932902,20-May-87,20-May-87,13.796645,1987,5,6.2148128,1.8269356
Ishtar,40000000,14375181,15-May-87,15-May-87,0.35937953,1987,5,6.2148128,1.8269356
River's Edge,1900000,4600000,8-May-87,8-May-87,2.4210527,1987,5,6.2148128,1.8269356
Malone,10000000,3000000,1-May-87,1-May-87,0.30000001,1987,5,6.2148128,1.8269356
Creepshow 2,3500000,14000000,1-May-87,1-May-87,4,1987,5,6.2148128,1.8269356
The Barbarians,4000000,800000,31-Mar-87,31-Mar-87,0.2,1987,3,6.2148128,1.8269356
Evil Dead II,3500000,5923044,13-Mar-87,13-Mar-87,1.6922983,1987,3,6.2148128,1.8269356
Lethal Weapon,15000000,114932279,6-Mar-87,6-Mar-87,7.6621518,1987,3,6.2148128,1.8269356
Hollywood Shuffle,100000,5228617,1-Mar-87,1-Mar-87,52.286171,1987,3,6.2148128,1.8269356
A Nightmare On Elm Street 3: Dream Warriors,5000000,44793222,27-Feb-87,27-Feb-87,8.9586449,1987,2,6.2148128,1.8269356
Radio Days,16000000,14792779,30-Jan-87,30-Jan-87,0.92454869,1987,1,6.2148128,1.8269356
American Ninja 2: The Confrontation,350000,4000000,1-Jan-87,1-Jan-87,11.428572,1987,1,6.2148128,1.8269356
Maurice,2600000,3130592,1-Jan-87,1-Jan-87,1.2040738,1987,1,6.2148128,1.8269356
Dangerous Liaisons,14000000,32663833,21-Dec-88,21-Dec-88,2.3331308,1988,12,4.4467702,1.4921781
Rain Man,25000000,408080878,16-Dec-88,16-Dec-88,16.323235,1988,12,4.4467702,1.4921781
My Stepmother Is an Alien,16000000,13854000,9-Dec-88,9-Dec-88,0.86587501,1988,12,4.4467702,1.4921781
Twins,15000000,216600000,9-Dec-88,9-Dec-88,14.44,1988,12,4.4467702,1.4921781
Talk Radio,4000000,3468572,1-Dec-88,1-Dec-88,0.86714298,1988,12,4.4467702,1.4921781
